Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Bassariscus astutus|Ringtail|4|Louisiana,Nevada,Oklahoma,Oregon|3|Louisiana,Oklahoma,Oregon|Mammals
Castor canadensis|American Beaver|4|Alaska,Arizona,New Mexico,Ohio|3|Arizona,California,District of Columbia|Mammals
Chaetodipus hispidus|Hispid Pocket Mouse|5|Arizona,Louisiana,Montana,North Dakota,Wyoming|3|Louisiana,North Dakota,Wyoming|Mammals
Choeronycteris mexicana|Mexican long-tongued bat|3|Arizona,California,New Mexico|3|Arizona,California,New Mexico|Mammals
Corynorhinus townsendii pallescens|pale Townsend's big-eared bat|3|Colorado,Oklahoma,Washington|3|Arizona,Colorado,Oklahoma|Mammals
Cratogeomys castanops|Yellow-faced Pocket Gopher|2|Kansas,Texas|3|Kansas,Oklahoma,Texas|Mammals
Cynomys leucurus|White-tailed Prairie Dog|4|Colorado,Montana,Utah,Wyoming|3|Colorado,Montana,Utah|Mammals
Erethizon dorsatus|North American Porcupine|5|Maryland,North Carolina,Ohio,Rhode Island,Texas|3|California,Maryland,West Virginia|Mammals
Eschrichtius robustus|Gray Whale|1|Alaska|3|Alaska,Oregon,Washington|Mammals
Eumetopias jubatus|Steller Sea Lion|3|Alaska,California,Washington|3|Alaska,California,Oregon|Mammals
Geomys bursarius|Plains Pocket Gopher|3|Indiana,Iowa,Wyoming|3|Indiana,Iowa,Wyoming|Mammals
Glaucomys sabrinus coloratus|Carolina northern flying squirrel|3|North Carolina,Tennessee,Virginia|3|North Carolina,Tennessee,Virginia|Mammals
Glaucomys sabrinus fuscus|Virginia flying squirrel|2|Virginia,West Virginia|3|Maryland,Virginia,West Virginia|Mammals
Ictidomys tridecemlineatus|Thirteen-lined Ground Squirrel|4|Arizona,Missouri,Ohio,Utah|3|Arizona,Missouri,Ohio|Mammals
Lasiurus blossevillii|western red bat|5|Arizona,California,Nevada,New Mexico,Utah|3|Arizona,Nevada,Utah|Mammals
Lasiurus xanthinus|western yellow bat|5|Arizona,California,Nevada,New Mexico,Texas|3|Arizona,New Mexico,Texas|Mammals
Lemmiscus curtatus|Sagebrush Vole|3|Nevada,North Dakota,Wyoming|3|Colorado,Nevada,North Dakota|Mammals
Leptonycteris yerbabuenae|lesser long-nosed bat|2|Arizona,New Mexico|3|Arizona,California,New Mexico|Mammals
Macrotus californicus|California leaf-nosed bat|3|Arizona,California,Nevada|3|Arizona,California,Nevada|Mammals
Microdipodops megacephalus|Dark Kangaroo Mouse|2|Idaho,Utah|3|Idaho,Nevada,Utah|Mammals
Mustela erminea|Ermine|2|Connecticut,Ohio|3|Connecticut,Iowa,Ohio|Mammals
Myotis californicus|California myotis|4|Alaska,Arizona,Idaho,Oregon|3|Alaska,Oregon,Texas|Mammals
Notiosorex crawfordi|gray shrew|4|Arkansas,Oklahoma,Texas,Utah|3|Arkansas,Oklahoma,Texas|Mammals
Ovis canadensis canadensis|Rocky Mountain bighorn sheep|4|Arizona,Nebraska,Nevada,New Mexico|3|Arizona,Nebraska,Oregon|Mammals
Pekania pennanti|Fisher|0||3|California,Idaho,Oregon|Mammals
Perognathus fasciatus|Olive-backed Pocket Mouse|4|Colorado,Nebraska,Utah,Wyoming|3|Colorado,Nebraska,Wyoming|Mammals
Peromyscus nasutus|Northern Rock Mouse|2|Texas,Utah|3|Arizona,Oklahoma,Texas|Mammals
Peromyscus polionotus|Oldfield Mouse|4|Alabama,Florida,Mississippi,North Carolina|3|Florida,Mississippi,North Carolina|Mammals
Phoca vitulina|Harbor Seal|1|Connecticut|3|Connecticut,Oregon,Rhode Island|Mammals
Pseudorca crassidens|False Killer Whale|4|American Samoa,Hawaii,Puerto Rico,Texas|3|American Samoa,Hawaii,Texas|Mammals
Reithrodontomys megalotis|Western Harvest Mouse|3|Arkansas,California,Minnesota|3|Arkansas,California,Minnesota|Mammals
Reithrodontomys montanus|Plains Harvest Mouse|3|Arkansas,Missouri,Wyoming|3|Arizona,Arkansas,Wyoming|Mammals
Sciurus niger cinereus|Delmarva Peninsula fox squirrel|4|Delaware,Maryland,Pennsylvania,Virginia|3|Delaware,Maryland,Virginia|Mammals
Sciurus niger niger|fox squirrel|2|Florida,Virginia|3|Florida,South Carolina,Virginia|Mammals
